"d(N,RE)","d(N,LE)","d(N,RM)","d(N,LM)","d(N,F)"
52.04377131,36.73772465,43.98822758,34.11798448,106.0249381
46.62573635,31.89585454,37.61557543,28.92446435,111.1125542
43.2266872,33.94915247,35.77477319,31.11640383,108.2635505
46.18313023,35.66714943,35.22495409,30.23487335,106.320584
46.01954299,29.88474526,40.88324358,33.23028897,107.8728125
46.19784414,35.33625962,37.49122395,32.85190941,103.8338349
43.4168635,36.14854298,35.13995089,32.50638068,105.972296
46.19528535,37.73474225,40.51287514,33.47537786,105.5615745
44.07724395,38.38647985,36.73914781,30.36131416,104.7831021
45.21067465,39.18309715,39.59800294,36.37240488,103.6351774
43.86326323,34.0335531,42.1681481,33.67297141,98.19591996
49.26274573,34.09880347,45.11429139,36.72128167,102.0755857
48.08900359,35.70394114,39.85568101,34.88084169,102.0226866
46.57970905,36.64896328,44.71329737,36.29287142,102.0084803
47.26595898,34.3335057,44.76012986,33.54601001,103.999405
47.03754672,40.24786269,49.29232236,41.17034815,102.3581939
46.17357429,35.83251379,41.85260169,37.89550476,103.3566269
45.78826201,35.49668912,41.48736086,36.64045191,100.8211771
42.36712837,33.65715197,37.07449953,31.79648201,104.7950615
45.54067631,36.28162882,37.78472891,31.11997747,106.8875732
45.24455707,37.34421344,38.55348706,34.83673944,106.2467427
46.3870981,37.79125415,35.30958129,30.41016567,105.292725
47.67379545,40.48628311,35.56402175,32.73070607,107.1887358
44.78015555,38.77732214,33.04096313,30.1979471,104.1617594
44.67697736,41.15451646,36.70482563,32.24490152,101.9916277
46.77414402,47.82114921,30.35731953,30.26670745,95.81395867
38.44297584,48.18769995,27.80175318,31.64176258,86.40710677
36.37541714,50.27134838,27.58355795,32.08253603,86.33553097
29.91317279,53.65011837,24.6359461,32.17099475,75.97726419
31.17445274,58.05320167,29.76480596,46.85822952,76.71731712
33.9875818,57.35039795,26.97034016,41.04885517,82.90297692
39.60595859,50.72894928,30.36289949,36.57243034,92.32365582
42.94142671,49.82061794,31.70893672,37.60329735,94.04623647
42.46703099,46.43890439,30.763144,33.19030194,95.33706877
40.76899939,42.58343302,35.7383279,34.20047551,98.88586504
42.58468455,44.11118582,34.23600922,32.54240676,102.7080277
45.60308653,39.84110454,36.03583358,28.47591947,105.6768241
44.78607769,39.80984684,36.47657558,28.75972729,102.2186364
48.09973503,40.74378553,37.6217434,27.94554973,108.6144004
48.21785887,40.74195538,38.28923847,28.04236838,110.0008141
44.4682916,38.61189415,38.99707877,28.01787231,108.8851433
47.1134322,41.18373509,37.46129953,28.33610323,110.1942664
47.43762457,40.53688146,37.63885304,28.11029646,107.2239801
43.83439848,35.83172719,39.80385386,29.53980016,105.2556175
48.26495484,34.78991452,40.91420663,30.5333521,111.3611734
45.61442966,36.57153315,35.66886952,29.24947444,106.4448753
49.86655196,38.1600576,40.20826774,29.38024096,109.0596745
45.64020754,36.38722941,41.50914386,30.3007654,107.5206027
46.60069669,36.48146437,38.40615209,28.21278967,108.0735625
47.76147812,36.9070865,37.54602765,28.10968908,108.8477665
44.97955957,36.08257233,38.22155985,30.61844569,104.333153
48.29571383,36.46808376,36.40274916,26.27339934,111.1259277
45.50436393,34.9958969,35.89092352,26.04471336,110.1670437
45.16297035,36.84685106,36.95018469,28.07932878,107.1802361
45.47596804,35.2101801,36.9592033,27.17063526,109.344384
43.55496046,35.46852035,38.67451767,27.45550008,106.4916199
44.94686733,33.5792658,37.74183544,28.2028324,106.8990115
44.7974771,33.52291744,39.08214274,29.91815492,107.9910846
44.21539229,32.71145765,37.77300095,29.57557808,109.8833441
43.50966862,34.69258126,36.13271324,28.21958431,106.5685114
48.3213848,38.75223613,37.92276651,28.07126926,108.8395103
48.38974181,35.56131667,38.20325507,26.80161239,109.9283429
44.72859238,33.48175772,37.16697249,29.3642234,107.0771177
43.00406815,32.35776231,39.62118021,31.91187498,109.0582434
47.30340931,34.69448562,41.97357695,31.42961784,105.9610113
43.93680065,37.83453501,38.6740236,30.6300842,105.1258743
46.3163218,33.27177546,37.66859319,31.17348182,108.8821334
49.86365227,32.42358544,38.89098107,29.44692476,111.7239572
47.16244382,32.77560227,38.13936913,30.93780196,104.6137261
45.10864358,31.57679402,36.2534803,29.89440761,108.7260945
43.07692767,31.25626813,39.73658651,30.75629596,102.1523256
46.02798253,31.59987389,42.31218868,31.1431948,107.1244856
43.2470208,31.57679402,38.84012965,30.70335202,106.4668807
45.19288929,33.11387952,38.12490442,32.70800244,102.8547688
44.14033833,31.82410858,41.42289601,33.15226323,104.3840059
42.85311728,31.73987639,40.20813903,31.2401219,103.499329
43.80061988,32.39101618,42.87477826,33.7253476,106.6356876
45.44058115,31.83719475,42.50868941,33.87574436,106.1022716
45.8326437,39.43808178,40.33272645,33.22540456,102.5043674
41.44437285,33.5190956,43.18136346,35.19609766,103.8222514
42.2453528,33.0808223,45.70402659,34.4510781,104.8450045
40.9494893,32.27150725,40.97663823,34.15398983,104.1534234
39.80716282,29.57946096,39.18408306,34.22856729,100.0865369
38.51653403,29.62093001,43.92287271,38.39283934,103.4613149
41.95333951,30.70740054,42.17228257,34.62821225,102.6827981
41.68222467,31.39840388,42.12490724,35.43271192,101.9885413
44.35228292,30.3786107,44.80911506,30.6266607,109.5659543
43.92621854,32.91066384,37.73200746,31.46260307,104.3054835
51.20979859,33.98082943,42.49550486,32.34888577,108.3805387
47.0028866,36.91505873,37.36498526,33.15515634,106.1570443
45.97584546,40.92024547,31.56743059,28.41979198,103.0790104
45.36584191,39.9072614,36.01165801,37.87412853,100.4551564
47.26274154,36.56683139,40.32151742,32.55249474,102.3009728
46.86855688,40.33821895,40.29953984,34.32600609,98.9280958
42.88716554,41.87805085,38.40347169,40.94925519,97.4823826
46.50389385,38.38027174,40.18969799,29.42955324,98.43482357
43.33047582,36.58679747,42.83982442,35.24562747,100.1225387
45.95922908,37.97282881,39.98071369,36.96470907,99.4748331
42.65328111,36.90358452,39.23874013,34.8055292,99.08908622
38.46117972,42.82104594,33.45672763,31.33452766,99.17282894
43.76720157,40.11795622,40.5697304,37.65299222,97.26181173
40.95637989,39.98559297,38.45468767,38.45468767,96.44555099
44.94784353,38.64491428,40.25135996,35.85532423,98.83100934
43.38761306,38.21335529,36.15756062,33.28575141,95.66021152
39.75303232,36.99016113,36.26476648,34.01973487,96.47232402
44.31015443,39.92375871,38.19027901,32.5168943,97.23648759
40.02714624,36.56120711,34.46517963,32.2186764,97.7323251
39.53553076,37.74329489,37.33084937,36.73659493,97.6187111
37.03547773,38.85991786,34.54834774,34.54834774,92.67835982
38.7172905,36.15641803,36.47335476,34.81801684,91.27521466
38.12490442,37.30338288,34.23087314,32.92222161,93.91864665
43.46606407,38.8431996,38.1571764,35.86856161,100.5630945
41.58065276,36.77782444,32.9458461,29.54258225,101.6646965
45.73302162,48.33063806,36.09134455,38.82719421,91.44714306
41.39479325,38.57101918,37.68182264,33.10571473,101.6290031
42.454615,35.19490862,36.94401086,32.1511297,100.883176
43.33560886,39.51438853,42.32385285,37.27535083,98.12757367
39.75471518,39.71940029,38.91893686,35.61114056,94.34557423
43.59060248,41.63851132,38.89167649,37.20215048,102.11238
41.5996445,41.74572387,41.74572387,35.17592469,97.60497785
41.5786797,40.59424207,39.80546171,38.80573805,91.66705429
47.57619037,39.00734886,38.30163998,33.70357143,99.87504974
40.66902139,40.51420064,38.85987648,35.19507855,97.17707066
42.8601029,38.25648847,36.57079053,33.54076357,98.00224913
40.74167481,38.55913136,38.2307569,39.15970927,92.64207176
39.88864715,38.05081361,36.07228581,34.09228472,98.43387699
42.97441436,37.26562433,40.01769102,32.80268757,102.6338804
45.10732335,31.9028203,44.4221777,36.15346884,103.6027892
46.43909789,34.07976778,39.54316842,35.34519419,109.1319257
43.74483783,33.76216158,38.86769415,32.00618108,106.4027018
41.68394423,35.05525541,38.77738027,33.40678663,107.363477
43.33203378,37.33349216,39.56333776,34.37400007,101.5388637
46.31415898,35.10287243,39.92202006,31.41912877,105.7658262
46.40615252,35.91924662,43.80000094,34.24529436,107.6470651
43.25793446,39.47010714,35.15883986,33.65820754,104.4159936
51.43264738,42.33339473,41.06108934,30.56880289,109.5554551
43.71045248,32.56421557,37.12480533,36.60695841,102.2684467
49.54434352,35.56517925,42.75104648,32.71898494,110.697145
45.31322664,33.68437868,42.39569949,33.02827512,110.2463907
45.43291374,35.71011834,38.28034583,33.86182185,108.2033771
48.78143789,34.49916544,46.65854327,32.0144202,109.9401506
45.16447134,32.18132233,41.79612176,32.36615237,107.8742423
47.53146472,35.64533824,35.21478064,31.11260444,110.7557964
48.59863062,35.18989923,37.06727509,35.76865253,108.0644647
45.05048933,35.73495524,42.06641822,35.58640899,105.1625474
51.77490598,39.6298121,38.17604831,32.75984036,114.3089562
50.13908534,34.52826659,43.58918565,30.20360403,116.1312732
46.48924938,32.73999157,42.6870659,32.30032418,116.4559884
43.50691777,34.19136127,39.51799005,36.0373759,107.0273609
47.69158174,35.97865665,42.20024524,35.94058524,111.8885905
50.53191741,31.03434818,41.24929969,30.86228365,120.1404932
47.47721425,33.8578356,40.3314217,35.67149133,111.1608509
47.65426315,38.56734624,43.47932029,33.94226472,118.1648417
53.95381439,36.40905705,40.07552016,29.04164991,117.0320376
51.95578977,30.62170619,44.74272556,33.14636631,115.0220854
48.89267587,28.16540586,42.02541994,32.59144115,109.0820133
50.81012075,33.08664157,41.35730094,31.7097058,112.7858992
45.7044726,26.11527553,40.81373965,27.97677208,114.8958555
48.92971088,35.98735757,40.06379218,31.46940932,109.7914575
45.6877106,31.09190569,38.3766158,32.21186299,109.2442845
46.98705247,36.15128395,34.7303673,28.0341311,117.7946835
49.78790562,33.06643684,32.95057554,27.92062049,115.9944356
51.39781979,32.08635359,41.95328117,32.2313409,112.1849482
47.60833752,34.33559688,39.40344758,27.55357248,110.7740048
43.09265179,30.66746383,38.00804141,36.61435806,108.7411453
46.74107464,27.21882427,42.06744422,34.27784573,112.5805196
49.2169385,28.64362074,45.11923716,29.51249873,120.7471883
52.16610594,27.18045769,44.29086274,31.58300818,123.058004
45.1944916,24.97217715,42.52141944,32.0701525,114.9005093
50.42936976,26.46645169,38.19839887,31.33103672,122.6468949
49.99763945,27.3749599,41.08487486,29.96257142,130.4890331
56.83121199,31.10204153,40.30923667,29.93646347,127.8678828
47.44034999,28.92050653,37.81528751,27.76974993,126.5445931
51.89367394,29.35345615,39.17579663,32.92682927,128.8416935
52.49978475,26.08978567,38.61006099,31.97581273,126.1419526
50.13529904,25,38.97812662,30.70495133,120.3190586
53.36048265,25.6097561,40.84201434,31.73008025,121.2777613
50.0363621,27.27763332,37.89641826,30.63791361,120.616909
50.97118207,26.61290323,38.01295292,32.68131915,121.9968664
50.6868704,32.55640949,40.60673471,34.86730089,112.0084124
55.21760861,30.71570952,51.06259235,40.18840229,108.5966982
49.42156645,27.91230418,47.09024133,40.63499429,108.4055163
52.13767255,30.21728954,45.15133245,36.27452026,111.5774605
50.99299443,28.50863827,46.48373388,39.32584585,109.0338496
52.93433362,30.58261953,47.58440808,39.95830339,109.3135417
52.18662284,30.41606422,46.71294058,37.73677647,110.4688746
49.82015206,30.83938137,45.37490922,40.57455453,104.221995
48.6601769,27.14430934,47.37882525,38.10553816,108.3541955
48.05587221,29.8373396,43.74008598,40.26678419,104.7536383
49.33704396,30.39077366,50.1891432,40.68248486,110.3177484
50.28200866,29.75720717,48.49627826,39.69672126,113.080562
51.51825622,28.75992645,50.56401835,43.10067053,113.4372215
49.67810632,26.93386982,45.29519298,41.18659986,107.8210777
52.26859243,26.22463873,55.45634956,43.00159677,112.1261249
47.39868158,26.11210394,50.1859117,45.38053539,108.8050462
54.19708066,28.09495652,51.17975692,41.5063479,112.4370757
50.09587473,25.93032628,44.66257511,40.50921097,109.8845815
51.12920778,26.69168586,52.66713549,44.0376795,107.8360072
49.95401116,26.91353603,50.4012035,44.98817499,107.6602088
48.99592123,28.45423625,45.96185792,40.45812351,107.4732103
52.55804408,30.80976166,50.22040463,41.82081081,109.2243158
48.6451041,25.77886463,50.5821745,39.90271896,112.002617
54.32034901,28.56386883,53.93628,46.54654855,107.6617818
48.31127171,31.98355622,49.24544243,40.50921097,111.1759995
47.38395753,29.51302818,51.01186528,44.1399615,106.7034304
48.20491583,33.65379649,45.86330053,39.33891655,111.4276527
47.63836565,32.76793835,45.2615915,42.40335943,110.6276759
45.23297641,29.98884688,48.35485232,40.73711261,108.4281749
51.0114693,33.51790566,47.88026733,44.14079746,109.2790922
50.07138402,32.64709038,46.2109423,40.74087091,109.162782
50.71352756,31.31745177,48.47165267,37.93107989,113.1461919
47.83754529,28.39025817,46.03856497,40.26085877,106.1193809
50.86854468,30.05419286,45.52150383,39.07927618,113.0500467
50.47335428,28.14564377,50.69268546,38.60811339,110.0555669
45.80998733,31.35674517,48.02558827,43.29950449,109.7281657
49.52307003,27.67978603,49.17620095,40.93467008,109.9091797
52.56251778,28.73059962,51.46584996,36.42649342,113.7658702
43.10199209,31.03855282,43.8503339,40.31596128,105.3206261
48.56609417,26.68127146,50.77498019,41.80514417,111.3594194
48.90927083,26.57933016,48.8409929,40.81903696,112.2952978
46.41806415,30.36452941,44.69311865,40.20435157,110.3998913
49.11671143,26.97186699,47.92580928,39.13432372,109.6365687
50.56209539,27.48487662,47.42837334,36.09920814,113.0607364
53.38611565,26.28843273,49.7763472,36.44838461,112.7262731
48.37939047,25.24112708,46.97729174,39.52284262,110.3534572
52.68930892,25.19416943,46.96044456,35.28606377,115.2285022
47.99584705,22.50287052,50.59056569,40.66665321,112.8345464
50.20411949,25.31890062,46.26309598,41.88177227,111.8150415
51.46175721,28.79052975,47.88326124,43.33977592,114.8002401
47.56932462,27.46587778,48.24818163,40.65540961,111.1725221
48.94111617,31.33618366,45.63167759,42.74054183,109.1416226
46.62225541,29.11262639,50.49291473,43.50194693,109.7800817
49.42262695,24.87897656,46.4227289,36.15870099,113.4455932
51.35329126,27.28215616,46.06891765,37.72263509,112.6328133
46.83542951,24.51920674,51.95087301,42.99936871,111.3825122
50.63870122,25.47183725,52.3949873,44.37643717,112.029134
52.08136208,22.80655659,53.59370995,40.77151332,113.8924283
48.04714966,26.80284576,49.95136521,44.82019451,105.9174262
55.80812179,24.46639987,44.6242776,37.09284171,117.2291027
49.99198324,21.85078466,53.60536654,46.55112184,111.2770073
54.83123152,25.51560393,51.72515746,41.26223896,109.834729
52.17509836,23.3575735,52.84096897,42.4513036,110.3551275
47.67092983,21.97435941,50.3222813,42.92798616,106.3058101
50.93296847,22.47896464,53.01091757,43.34827719,112.8195778
47.59428404,23.81163321,48.08233569,43.77746848,109.2126094
48.66165453,21.57359728,51.12387038,41.0008968,118.8977912
50.22644678,25.16563633,53.96383633,35.1472175,112.5128135
52.36088081,25.82806573,52.83431978,32.53898706,115.0791906
53.59650469,29.29666036,51.1678944,31.13503682,115.4150635
52.579687,30.02703545,50.56357566,34.04356001,113.7970668
51.34439837,33.1239036,49.52513222,31.53527851,114.0473832
50.37508042,34.18191503,49.75968694,31.70053173,114.7744433
48.62539764,32.94575939,47.50844163,33.89039874,110.6197523
50.51276879,30.8945326,52.78721404,31.00613952,115.3629715
49.23928176,35.0752516,49.23928176,29.78666595,113.3696924
52.71129506,41.42669195,45.71229607,29.45595051,112.7899879
52.74630469,36.16108629,50.35326025,30.83423307,112.0663287
50.42921102,36.02335877,47.35533539,27.94527783,112.8926431
49.38623131,37.86004626,47.79404054,31.223967,112.0782288
49.79343301,42.29605535,43.40389617,26.96472813,108.4640034
48.30942278,40.5627879,41.73366662,29.35627089,108.4303453
48.24211209,41.95371115,44.4357275,32.86743454,108.1049107
49.47833337,38.17283484,47.0561539,28.98079098,107.8631715
48.46830295,38.69886748,43.60646264,28.45695804,106.4742526
50.55622407,41.24500927,44.20929237,25.85484937,109.5241218
51.24619407,37.08239777,51.61554818,26.10892871,111.3392985
50.0275524,37.20518949,42.41521947,23.42121147,107.6548733
53.0222836,37.02327972,45.38547266,27.04090027,108.0356961
51.99839439,43.17773849,47.15399934,29.24422415,109.3613175
51.74056003,38.87637821,41.72901963,25.99770392,105.2936068
55.68448752,40.85051004,45.52459053,28.72898028,108.5562854
45.81329593,39.76412732,39.13038155,26.94697395,100.9806307
49.4310589,41.83340578,45.33889847,33.90276914,103.5412413
48.1628334,42.42694747,43.18728188,33.80722113,100.3281607
49.704601,45.36632878,31.31981411,26.37988272,104.930753
46.26079181,44.87975939,36.66765438,29.40877974,98.19114878
45.8377198,50.29069083,31.18052629,28.95915099,97.93205595
43.74114334,46.89215748,37.71835477,34.37611652,95.39922111
48.10858387,48.38461187,35.84928593,32.66858061,101.4378023
48.59760402,48.68260548,32.98009516,31.31008573,101.0448628
44.55337535,47.70386467,35.09440935,35.18781551,97.26145778
44.90093002,42.30410543,37.47859133,34.65623593,93.69647834
45.57004252,49.06648759,34.705528,29.33170257,95.18767284
47.87375896,55.51092996,36.31478729,33.77004703,99.23235335
49.11977872,48.71070026,37.56295605,39.75672185,93.09412529
47.19555483,47.38851894,35.48073261,36.49811332,94.77703788
41.5388005,44.49049353,34.60371719,30.67806262,90.62512785
45.58655527,46.55690928,36.06786771,31.94344277,98.31204513
45.24919571,51.03676427,34.8205148,35.9064107,97.72208118
48.67636303,49.75198987,34.90364917,35.60373178,98.53897622
48.37692296,41.56835597,39.38366227,28.04803543,106.9331351
50.78369904,37.76684608,45.53694099,25.90512057,112.4877471
53.21885029,24.2876399,53.39703978,23.88375809,122.2263342
59.628003,26.81667721,62.18613668,28.76096593,133.0491615
56.87308635,23.82447479,58.57416692,30.88329286,126.4901492
58.69613587,28.73704679,69.54632189,26.60774054,126.8263168
56.19455339,29.10657106,56.5535024,22.81804352,119.8703124
56.92818196,32.11615685,53.55967776,23.43234614,117.5653885
59.84758053,32.69264041,59.9650694,24.12397536,121.4356493
49.796435,31.08055679,55.14573678,24.91920135,111.5644616
52.05308893,31.43329649,56.63018634,22.37688081,114.9702641
54.7083562,27.77587604,55.81010366,21.90970832,121.4780415
